ride_pk,ride_id,customer_id,driver_id,booking_status,date,time,pickup_location,drop_location,ride_distance,booking_value,payment_method,customer_rating,avg_vtat_tratado,avg_ctat_tratado
172,""CNR4617937"",""CID7348314"",16,Completed,2024-06-20,00:00:07,Sultanpur,"Delhi Gate",20.41,500.00,"Credit Card",5,6.70,33.50
173,""CNR7311169"",""CID2529885"",1,"Cancelled by Driver",2024-11-18,00:00:16,"Noida Film City","Vasant Kunj",0.00,0.00,"Não informado",0,7.20,29.14
174,""CNR7340396"",""CID7334750"",9,Completed,2024-03-05,00:00:12,"Gurgaon Sector 29","Dilshad Garden",25.94,446.00,"Debit Card",4,3.70,38.90
175,""CNR4259279"",""CID7993999"",1,"Cancelled by Driver",2024-01-12,00:00:09,"Jor Bagh","Golf Course Road",0.00,0.00,"Não informado",0,11.60,29.14
176,""CNR7554746"",""CID3234126"",17,Completed,2024-05-17,00:00:01,"Huda City Centre","Aya Nagar",39.16,125.00,UPI,5,2.60,32.90
177,""CNR9430550"",""CID3901448"",10,Completed,2024-05-13,00:00:21,"Dilshad Garden","Subhash Nagar",23.79,419.00,"Uber Wallet",5,11.40,17.20
178,""CNR9984761"",""CID1201304"",2,"Cancelled by Driver",2024-01-04,00:00:06,Saket,"Old Gurgaon",0.00,0.00,"Não informado",0,3.30,29.14
179,""CNR4112922"",""CID8248967"",22,Completed,2024-06-19,00:00:22,"Basai Dhankot","Qutub Minar",41.93,477.00,Cash,5,4.70,17.70
180,""CNR5939223"",""CID1109267"",2,"Cancelled by Driver",2024-07-01,00:00:18,"Basai Dhankot","Mandi House",0.00,0.00,"Não informado",0,5.80,29.14
181,""CNR7645307"",""CID6238168"",2,"Cancelled by Driver",2024-11-05,00:00:17,"Jor Bagh","Sadar Bazar Gurgaon",0.00,0.00,"Não informado",0,8.00,29.14
182,""CNR4722464"",""CID7557487"",6,Completed,2024-04-26,00:00:21,"Anand Vihar","IMT Manesar",6.71,352.00,UPI,5,11.30,33.00
183,""CNR3191144"",""CID5636263"",13,"Cancelled by Driver",2024-02-22,00:00:22,Ashram,Bhiwadi,0.00,0.00,"Não informado",0,11.10,29.14
184,""CNR4720063"",""CID1461597"",22,Completed,2024-12-04,00:00:14,Munirka,"Sushant Lok",15.63,117.00,UPI,5,7.40,39.00
185,""CNR6216825"",""CID3685295"",2,"Cancelled by Driver",2024-11-10,00:00:09,Vishwavidyalaya,"Bhikaji Cama Place",0.00,0.00,"Não informado",0,9.40,29.14
186,""CNR5314934"",""CID1026547"",22,Completed,2024-12-12,00:00:12,"Tis Hazari",Arjangarh,29.80,51.00,UPI,4,9.30,28.50
187,""CNR5517193"",""CID9143442"",24,Completed,2024-03-02,00:00:22,"Malviya Nagar","Sohna Road",5.59,81.00,Cash,4,6.00,26.60
188,""CNR8412946"",""CID7723858"",15,"Cancelled by Driver",2024-07-12,00:00:16,Nawada,"Hero Honda Chowk",0.00,0.00,"Não informado",0,8.20,29.14
189,""CNR1867567"",""CID6010303"",12,Incomplete,2024-12-17,00:00:19,"Qutub Minar",Ghitorni,6.57,635.00,UPI,0,7.20,18.40
190,""CNR3455701"",""CID9643714"",5,Completed,2024-08-29,00:00:21,Munirka,"Tis Hazari",4.44,51.00,"Uber Wallet",5,13.50,41.80
191,""CNR5149854"",""CID9975388"",10,Completed,2024-03-25,00:00:18,Akshardham,"IGNOU Road",26.93,469.00,UPI,5,4.90,33.00
192,""CNR6027511"",""CID6080643"",5,Completed,2024-06-30,00:00:21,"Udyog Vihar Phase 4","Greater Kailash",28.78,320.00,UPI,5,9.90,22.00
193,""CNR4569804"",""CID8474448"",7,Completed,2024-07-18,00:00:02,"Raj Nagar Extension","IMT Manesar",12.98,726.00,"Debit Card",4,13.30,24.60
194,""CNR7585582"",""CID1607386"",8,Incomplete,2024-03-14,00:00:23,Ghitorni,"Noida Film City",19.06,68.00,Cash,0,2.00,10.30
195,""CNR5534901"",""CID9231793"",1,Incomplete,2024-09-26,00:00:12,Akshardham,"Keshav Puram",14.00,136.00,"Debit Card",0,4.40,15.70
196,""CNR5784218"",""CID1814194"",10,Completed,2024-09-15,00:00:20,Nawada,"New Delhi Railway Station",43.06,455.00,UPI,4,8.80,16.80
197,""CNR6349771"",""CID5577961"",3,Completed,2024-05-12,00:00:10,"Lajpat Nagar","Shivaji Park",38.96,995.00,"Debit Card",5,2.60,22.20
198,""CNR3708287"",""CID2958217"",24,Completed,2024-11-16,00:00:19,"Aya Nagar",Meerut,18.87,1179.00,"Uber Wallet",5,2.70,25.80
199,""CNR8365625"",""CID4463605"",5,Completed,2024-07-19,00:00:16,"Lok Kalyan Marg","Maidan Garhi",47.88,525.00,"Uber Wallet",5,11.00,33.10
200,""CNR7435840"",""CID9084957"",8,"Cancelled by Driver",2024-12-02,00:00:20,Nawada,Pulbangash,0.00,0.00,"Não informado",0,11.30,29.14
201,""CNR8577529"",""CID8121948"",8,"Cancelled by Driver",2024-08-08,00:00:14,"Punjabi Bagh",Badshahpur,0.00,0.00,"Não informado",0,6.90,29.14
202,""CNR6158921"",""CID4203688"",10,Completed,2024-09-15,00:00:22,"Ramesh Nagar","Keshav Puram",5.70,300.00,UPI,5,5.10,27.90
203,""CNR7484371"",""CID7265108"",25,Completed,2024-05-30,00:00:18,"Maidan Garhi","Sarai Kale Khan",4.62,202.00,UPI,4,11.10,18.40
204,""CNR9301716"",""CID4647277"",16,Completed,2024-12-05,00:00:07,"Greater Kailash","Green Park",42.26,475.00,Cash,4,6.30,34.10
205,""CNR6511558"",""CID5808222"",10,Completed,2024-07-16,00:00:19,"Sarojini Nagar",Saidulajab,19.49,833.00,"Debit Card",3,6.10,17.00
206,""CNR1801249"",""CID2012161"",2,"Cancelled by Driver",2024-06-14,00:00:16,"Satguru Ram Singh Marg","Kashmere Gate",0.00,0.00,"Não informado",0,3.90,29.14
207,""CNR5712520"",""CID8152575"",7,Completed,2024-01-06,00:00:20,"Palam Vihar",Shahdara,40.36,158.00,UPI,5,7.30,33.10
208,""CNR1038498"",""CID6242930"",21,Completed,2024-02-28,00:00:03,"GTB Nagar","Palam Vihar",42.59,155.00,Cash,3,10.00,36.90
209,""CNR2395349"",""CID3389825"",8,"Cancelled by Driver",2024-04-26,00:00:18,"Vatika Chowk",Pulbangash,0.00,0.00,"Não informado",0,9.30,29.14
210,""CNR4896767"",""CID6418422"",6,Completed,2024-03-31,00:00:08,"Cyber Hub",Mundka,21.68,107.00,UPI,5,10.50,33.90
211,""CNR5047025"",""CID6365387"",9,Completed,2024-04-04,00:00:16,"Adarsh Nagar","Rohini West",29.90,151.00,UPI,5,6.80,22.40
212,""CNR7514462"",""CID5973257"",7,Completed,2024-05-07,00:00:21,"Golf Course Road","Bhikaji Cama Place",42.27,187.00,Cash,5,10.70,30.40
213,""CNR5269641"",""CID8225890"",7,Completed,2024-06-15,00:00:19,"IIT Delhi","Basai Dhankot",49.71,1543.00,Cash,5,12.30,34.60
214,""CNR9927786"",""CID8378909"",17,Completed,2024-06-14,00:00:20,"Punjabi Bagh","Gurgaon Sector 56",32.56,432.00,UPI,5,3.80,20.20
215,""CNR9619867"",""CID9032039"",2,"Cancelled by Customer",2024-03-04,00:00:21,"Civil Lines Gurgaon","Moti Nagar",0.00,0.00,"Não informado",0,10.20,29.14
216,""CNR7250271"",""CID9448818"",2,Incomplete,2024-01-23,00:00:10,"Udyog Vihar Phase 4","Anand Vihar ISBT",14.49,195.00,"Uber Wallet",0,4.40,23.60
217,""CNR5629774"",""CID8747096"",9,Completed,2024-10-28,00:00:15,Ghaziabad,"Udyog Vihar",31.49,54.00,Cash,5,3.20,30.80
218,""CNR4578797"",""CID1104786"",6,Completed,2024-02-06,00:00:10,Narsinghpur,"Maidan Garhi",21.28,939.00,UPI,5,13.40,20.00
219,""CNR5277125"",""CID7166980"",3,Completed,2024-12-04,00:00:07,"MG Road","GTB Nagar",34.14,829.00,UPI,4,9.80,43.40
220,""CNR2343017"",""CID9190683"",3,Completed,2024-12-22,00:00:17,"Panchsheel Park","Gwal Pahari",20.66,314.00,UPI,4,8.70,27.20
221,""CNR4356773"",""CID9031824"",10,Completed,2024-08-24,00:00:21,Badarpur,"Tis Hazari",24.60,1249.00,Cash,4,11.70,30.50
222,""CNR1050716"",""CID3789359"",6,Completed,2024-09-18,00:00:08,"Gurgaon Sector 29","South Extension",27.94,437.00,UPI,5,4.50,27.40
223,""CNR7850961"",""CID5103518"",9,Completed,2024-10-22,00:00:08,"Dwarka Sector 21",Moolchand,44.57,83.00,UPI,5,9.60,28.10
224,""CNR1254363"",""CID9092173"",6,Completed,2024-06-16,00:00:06,"Greater Kailash","Raj Nagar Extension",15.43,1444.00,Cash,3,14.20,15.70
225,""CNR6569789"",""CID3372949"",15,"Cancelled by Driver",2024-12-22,00:00:09,"Pataudi Chowk",Meerut,0.00,0.00,"Não informado",0,6.50,29.14
226,""CNR6092310"",""CID4998701"",12,"No Driver Found",2024-07-02,00:00:15,Bahadurgarh,"Uttam Nagar",0.00,0.00,"Não informado",0,8.49,29.14
227,""CNR2742692"",""CID6825812"",5,Completed,2024-09-07,00:00:04,"Gwal Pahari","Golf Course Road",42.88,1368.00,Cash,4,5.80,31.40
228,""CNR7165550"",""CID7694379"",13,"No Driver Found",2024-07-05,00:00:06,"Punjabi Bagh","Ghitorni Village",0.00,0.00,"Não informado",0,8.49,29.14
229,""CNR9101826"",""CID1875498"",6,Completed,2024-05-03,00:00:21,"Tagore Garden",Narsinghpur,23.31,418.00,UPI,5,7.10,18.00
230,""CNR7054338"",""CID5302286"",16,Completed,2024-04-10,00:00:19,"Samaypur Badli","IGNOU Road",31.36,363.00,UPI,4,11.00,40.00
231,""CNR5871454"",""CID8316899"",7,Completed,2024-02-06,00:00:09,AIIMS,"Chandni Chowk",16.68,279.00,Cash,5,12.80,15.30
232,""CNR4399523"",""CID2089022"",7,Completed,2024-04-22,00:00:17,"Hero Honda Chowk",AIIMS,49.06,332.00,Cash,5,5.10,39.90
233,""CNR9707820"",""CID2183387"",6,Completed,2024-09-25,00:00:18,"Delhi Gate","Gurgaon Sector 29",28.34,448.00,UPI,5,4.70,37.90
234,""CNR2693001"",""CID1889689"",13,"Cancelled by Customer",2024-07-08,00:00:18,"Rohini West",Peeragarhi,0.00,0.00,"Não informado",0,11.20,29.14
235,""CNR3363167"",""CID8741995"",10,Completed,2024-06-04,00:00:15,Badarpur,"Ambience Mall",38.65,64.00,UPI,5,12.90,29.70
236,""CNR9573367"",""CID7080252"",22,Completed,2024-12-10,00:00:14,"Mandi House",Rohini,3.05,682.00,UPI,4,4.20,18.90
237,""CNR4563554"",""CID3656786"",15,"No Driver Found",2024-07-27,00:00:10,Chanakyapuri,Munirka,0.00,0.00,"Não informado",0,8.49,29.14
238,""CNR3121090"",""CID1670641"",7,Completed,2024-07-13,00:00:02,"Mandi House","India Gate",41.81,488.00,UPI,4,5.20,37.80
239,""CNR2969701"",""CID1401223"",8,"Cancelled by Customer",2024-06-14,00:00:11,"Delhi Gate","Chandni Chowk",0.00,0.00,"Não informado",0,16.90,29.14
240,""CNR3590282"",""CID7281467"",22,Completed,2024-10-16,00:00:21,"Barakhamba Road",Ghaziabad,31.28,953.00,Cash,5,3.90,40.60
241,""CNR5792733"",""CID2894784"",10,Completed,2024-05-05,00:00:19,"Jor Bagh",Azadpur,34.50,965.00,UPI,4,9.90,15.60
242,""CNR7417036"",""CID8283589"",10,Completed,2024-02-18,00:00:16,"Khan Market","Green Park",13.10,405.00,"Credit Card",5,10.00,40.60
243,""CNR7957879"",""CID3277993"",8,"No Driver Found",2024-08-14,00:00:14,"Satguru Ram Singh Marg",Sikanderpur,0.00,0.00,"Não informado",0,8.49,29.14
244,""CNR3649243"",""CID2049171"",15,"Cancelled by Driver",2024-03-07,00:00:10,Meerut,"Vasant Kunj",0.00,0.00,"Não informado",0,10.20,29.14
245,""CNR8918353"",""CID4955715"",10,Completed,2024-08-29,00:00:17,"Udyog Vihar Phase 4",Kalkaji,9.93,423.00,UPI,5,5.00,23.70
246,""CNR1343265"",""CID2749175"",2,"Cancelled by Customer",2024-06-28,00:00:23,"RK Puram",Panipat,0.00,0.00,"Não informado",0,11.90,29.14
247,""CNR1390232"",""CID6307524"",8,"No Driver Found",2024-12-24,00:00:10,"GTB Nagar",Jasola,0.00,0.00,"Não informado",0,8.49,29.14
248,""CNR3047231"",""CID5464558"",6,Completed,2024-05-25,00:00:08,Akshardham,Bahadurgarh,31.93,264.00,UPI,4,11.10,31.90
249,""CNR5380412"",""CID8125937"",7,Completed,2024-02-01,00:00:09,"Shivaji Park","Hauz Khas",34.73,249.00,UPI,5,11.20,31.30
250,""CNR4886117"",""CID2026490"",3,Completed,2024-03-10,00:00:21,Jasola,"Delhi Gate",31.51,628.00,Cash,5,13.50,32.90
251,""CNR1155206"",""CID3865002"",18,Incomplete,2024-03-03,00:00:13,"IMT Manesar","Lok Kalyan Marg",14.46,110.00,UPI,0,4.10,19.70
252,""CNR7623737"",""CID6954811"",1,"Cancelled by Driver",2024-10-26,00:00:13,"Gurgaon Sector 56","Pragati Maidan",0.00,0.00,"Não informado",0,9.30,29.14
253,""CNR5468556"",""CID4533250"",21,Completed,2024-07-11,00:00:20,"Udyog Bhawan",Mundka,10.27,190.00,UPI,5,7.70,15.90
254,""CNR8037805"",""CID2099192"",16,Completed,2024-04-04,00:00:08,"Rajiv Chowk",Okhla,46.07,264.00,"Uber Wallet",3,5.20,23.10
255,""CNR5137585"",""CID3906781"",2,"Cancelled by Customer",2024-09-06,00:00:16,Badarpur,Vaishali,0.00,0.00,"Não informado",0,7.60,29.14
256,""CNR5622847"",""CID7679264"",5,Completed,2024-12-20,00:00:10,Panipat,"New Colony",45.51,147.00,UPI,5,10.00,37.30
257,""CNR4461457"",""CID8192836"",15,"No Driver Found",2024-07-04,00:00:11,"Noida Film City","Kirti Nagar",0.00,0.00,"Não informado",0,8.49,29.14
258,""CNR3788830"",""CID1892630"",6,Completed,2024-09-25,00:00:15,"Vidhan Sabha",Kaushambi,34.90,953.00,UPI,5,4.40,28.10
259,""CNR8254837"",""CID5350125"",7,Completed,2024-10-17,00:00:17,AIIMS,"Ashok Park Main",30.87,654.00,Cash,5,14.90,20.90
260,""CNR5483670"",""CID3570152"",10,Completed,2024-06-01,00:00:08,"Panchsheel Park","Sarai Kale Khan",37.07,427.00,Cash,5,8.40,19.70
261,""CNR7372127"",""CID2108992"",15,"Cancelled by Driver",2024-12-25,00:00:05,"Udyog Bhawan","Civil Lines Gurgaon",0.00,0.00,"Não informado",0,11.80,29.14
262,""CNR5166870"",""CID9712348"",6,Completed,2024-07-04,00:00:08,"Keshav Puram","Mayur Vihar",35.38,610.00,"Uber Wallet",4,5.80,25.50
263,""CNR1915557"",""CID8572565"",5,Completed,2024-04-23,00:00:11,"Pragati Maidan","Raj Nagar Extension",19.61,648.00,UPI,5,7.10,42.50
264,""CNR3460247"",""CID7449191"",26,Completed,2024-02-11,00:00:18,"Punjabi Bagh","Green Park",23.82,792.00,Cash,4,8.80,40.40
265,""CNR8192412"",""CID3617414"",7,Completed,2024-04-28,00:00:14,"Keshav Puram",Tughlakabad,39.98,676.00,UPI,5,13.60,29.80
266,""CNR7439127"",""CID2424398"",5,Completed,2024-03-22,00:00:21,"Raj Nagar Extension",Moolchand,27.16,389.00,"Uber Wallet",4,5.10,22.40
267,""CNR3712135"",""CID7174383"",16,Completed,2024-04-28,00:00:07,Jhilmil,"Malviya Nagar",48.45,74.00,"Uber Wallet",4,11.40,42.60
268,""CNR1675599"",""CID9232923"",8,"Cancelled by Driver",2024-05-01,00:00:09,"Saket A Block","Old Gurgaon",0.00,0.00,"Não informado",0,8.20,29.14
269,""CNR1935772"",""CID2909332"",2,"Cancelled by Driver",2024-01-12,00:00:18,"Central Secretariat",Janakpuri,0.00,0.00,"Não informado",0,10.80,29.14
270,""CNR4730676"",""CID5429248"",6,Completed,2024-05-07,00:00:20,"Noida Sector 18","Malviya Nagar",25.05,465.00,"Credit Card",5,9.40,41.60
271,""CNR6139544"",""CID9812979"",6,Completed,2024-08-27,00:00:09,"Khan Market","New Delhi Railway Station",40.21,932.00,UPI,4,5.30,43.60
272,""CNR3805926"",""CID1837528"",16,Completed,2024-04-03,00:00:19,ITO,"Noida Film City",44.48,191.00,Cash,5,10.80,33.70
273,""CNR5129655"",""CID6449078"",5,Completed,2024-04-21,00:00:12,"India Gate","Shastri Nagar",6.82,770.00,UPI,5,5.20,34.90
274,""CNR8725828"",""CID5970413"",7,Completed,2024-09-15,00:00:19,Indraprastha,"IGI Airport",16.21,514.00,UPI,4,14.30,23.40
275,""CNR6557966"",""CID9646686"",15,"Cancelled by Driver",2024-05-14,00:00:14,Jasola,Rohini,0.00,0.00,"Não informado",0,11.70,29.14
276,""CNR5403690"",""CID2856626"",10,Completed,2024-09-18,00:00:18,"Botanical Garden","Mansarovar Park",12.90,349.00,UPI,5,11.70,17.30
277,""CNR4969264"",""CID8159457"",15,"Cancelled by Driver",2024-07-27,00:00:21,Narsinghpur,Inderlok,0.00,0.00,"Não informado",0,10.10,29.14
278,""CNR6028710"",""CID1715075"",17,Completed,2024-10-07,00:00:16,Janakpuri,"Golf Course Road",12.22,267.00,Cash,4,9.20,41.20
279,""CNR3761377"",""CID2461173"",1,"No Driver Found",2024-11-19,00:00:07,"Ashok Park Main","Lok Kalyan Marg",0.00,0.00,"Não informado",0,8.49,29.14
280,""CNR2650074"",""CID5603156"",7,Completed,2024-06-27,00:00:17,"Samaypur Badli",Ghitorni,3.95,325.00,UPI,5,4.40,37.00
281,""CNR7381283"",""CID8868738"",10,Completed,2024-03-16,00:00:19,"Laxmi Nagar","Pragati Maidan",42.87,156.00,Cash,4,4.30,15.60
282,""CNR2531495"",""CID7656183"",5,Completed,2024-06-16,00:00:21,"Lok Kalyan Marg","IGNOU Road",39.84,689.00,UPI,5,5.20,27.30
283,""CNR1939605"",""CID1229469"",6,Completed,2024-04-13,00:00:11,Munirka,Pulbangash,4.19,491.00,"Credit Card",4,13.60,40.40
284,""CNR5149041"",""CID6951861"",10,Completed,2024-08-09,00:00:03,"Noida Sector 18","Tilak Nagar",6.18,304.00,"Credit Card",4,10.10,32.50
285,""CNR7041241"",""CID1368334"",15,"Cancelled by Driver",2024-11-28,00:00:20,"Gwal Pahari","Rohini East",0.00,0.00,"Não informado",0,12.00,29.14
286,""CNR8035160"",""CID5283020"",8,"Cancelled by Customer",2024-08-30,00:00:19,"Connaught Place","Uttam Nagar",0.00,0.00,"Não informado",0,12.60,29.14
287,""CNR1918341"",""CID7417050"",3,Completed,2024-07-11,00:00:20,Pitampura,"Paschim Vihar",4.56,697.00,UPI,5,14.80,44.40
288,""CNR9600846"",""CID8949589"",6,Completed,2024-07-25,00:00:19,"Udyog Bhawan",Janakpuri,47.56,679.00,UPI,5,3.80,20.10
289,""CNR2775291"",""CID9116623"",12,Incomplete,2024-08-17,00:00:18,Jahangirpuri,Indirapuram,14.65,713.00,Cash,0,2.90,18.00
290,""CNR4263854"",""CID3967495"",2,"Cancelled by Driver",2024-02-18,00:00:18,Tughlakabad,"Vidhan Sabha",0.00,0.00,"Não informado",0,8.60,29.14
291,""CNR4635401"",""CID3741723"",9,Completed,2024-06-16,00:00:10,"Anand Vihar","Gurgaon Sector 56",32.15,683.00,UPI,4,10.00,18.50
292,""CNR2135475"",""CID8123696"",10,Completed,2024-07-08,00:00:21,"Vatika Chowk",Paharganj,23.50,91.00,UPI,4,7.80,36.40
293,""CNR2438435"",""CID7928240"",1,Incomplete,2024-02-26,00:00:14,"Central Secretariat",Sikanderpur,16.61,396.00,UPI,0,3.10,12.40
294,""CNR2068345"",""CID1975343"",10,Completed,2024-02-28,00:00:16,Govindpuri,Kalkaji,18.14,769.00,Cash,4,8.50,35.70
295,""CNR6107939"",""CID3244272"",5,Completed,2024-12-27,00:00:01,Welcome,"DLF Phase 3",31.10,323.00,"Uber Wallet",5,2.30,16.40
296,""CNR6577172"",""CID5963264"",12,Incomplete,2024-12-06,00:00:16,"Preet Vihar",Mehrauli,3.74,627.00,"Uber Wallet",0,3.60,27.70
297,""CNR1957129"",""CID5761924"",3,Completed,2024-05-13,00:00:18,"Noida Extension","Old Gurgaon",13.99,134.00,Cash,4,12.90,26.00
298,""CNR1531092"",""CID7911273"",9,Completed,2024-05-09,00:00:17,"Kanhaiya Nagar","Satguru Ram Singh Marg",5.04,940.00,"Credit Card",5,12.10,33.60
299,""CNR6891932"",""CID1466189"",1,"No Driver Found",2024-11-19,00:00:21,Seelampur,"Udyog Bhawan",0.00,0.00,"Não informado",0,8.49,29.14
300,""CNR2192659"",""CID5227340"",6,Completed,2024-04-04,00:00:14,"Anand Vihar","Chirag Delhi",36.18,266.00,"Uber Wallet",4,9.60,26.20
301,""CNR6262174"",""CID4943288"",3,Completed,2024-11-19,00:00:20,Mehrauli,"Karol Bagh",13.21,484.00,"Uber Wallet",4,8.10,26.40
302,""CNR7791863"",""CID1873624"",10,Completed,2024-06-04,00:00:20,Indirapuram,"Noida Sector 62",6.06,250.00,Cash,5,5.60,19.20
303,""CNR8243301"",""CID7666967"",8,"Cancelled by Driver",2024-08-13,00:00:13,"IGI Airport","Civil Lines Gurgaon",0.00,0.00,"Não informado",0,9.30,29.14
304,""CNR9897424"",""CID8433669"",13,Incomplete,2024-12-25,00:00:11,Saket,"Noida Extension",14.61,361.00,UPI,0,8.80,20.00
305,""CNR5745004"",""CID8137475"",9,Completed,2024-06-30,00:00:11,"Basai Dhankot","Shivaji Park",48.08,224.00,Cash,5,2.60,21.00
306,""CNR9659819"",""CID5653812"",15,"Cancelled by Customer",2024-01-20,00:00:21,"Huda City Centre","Hauz Rani",0.00,0.00,"Não informado",0,8.50,29.14
307,""CNR8084453"",""CID5057901"",16,Completed,2024-04-10,00:00:11,"Vatika Chowk",Saidulajab,39.51,669.00,Cash,4,12.80,36.80
308,""CNR6574173"",""CID6454968"",2,"Cancelled by Customer",2024-07-28,00:00:09,"Gurgaon Sector 29","Kherki Daula Toll",0.00,0.00,"Não informado",0,8.70,29.14
309,""CNR4467044"",""CID9935423"",8,"Cancelled by Driver",2024-08-04,00:00:08,Kalkaji,"INA Market",0.00,0.00,"Não informado",0,8.80,29.14
310,""CNR3334608"",""CID2336782"",7,Completed,2024-08-05,00:00:15,"GTB Nagar",Kalkaji,7.83,207.00,"Uber Wallet",4,5.20,31.70
311,""CNR3901250"",""CID4369282"",10,Completed,2024-08-16,00:00:12,"Rajiv Nagar",Meerut,12.34,227.00,Cash,3,13.20,35.80
312,""CNR3899180"",""CID3915373"",16,Completed,2024-03-21,00:00:01,"Panchsheel Park","Yamuna Bank",36.70,771.00,UPI,5,2.30,33.80
313,""CNR7686844"",""CID4485200"",8,"Cancelled by Driver",2024-04-29,00:00:22,Sonipat,"GTB Nagar",0.00,0.00,"Não informado",0,9.10,29.14
314,""CNR7619619"",""CID9964707"",3,Completed,2024-05-06,00:00:13,"Sadar Bazar Gurgaon",Chanakyapuri,31.50,441.00,"Uber Wallet",3,14.20,26.40
315,""CNR3128056"",""CID1669827"",2,"Cancelled by Driver",2024-09-13,00:00:15,"Netaji Subhash Place","Kashmere Gate ISBT",0.00,0.00,"Não informado",0,11.20,29.14
316,""CNR2415257"",""CID6909825"",16,Completed,2024-05-18,00:00:06,"Lajpat Nagar",Rohini,4.26,788.00,UPI,5,12.40,21.60
317,""CNR9756448"",""CID6952097"",3,Completed,2024-10-06,00:00:21,Indraprastha,Panipat,46.74,459.00,UPI,5,13.30,41.60
318,""CNR5071968"",""CID7384045"",22,Completed,2024-10-10,00:00:03,"Panchsheel Park","Yamuna Bank",48.35,473.00,Cash,4,4.70,42.50
319,""CNR9262105"",""CID3597216"",5,Completed,2024-05-14,00:00:06,"Noida Sector 62","DLF City Court",49.87,503.00,Cash,5,14.50,19.80
320,""CNR6026973"",""CID7000290"",7,Completed,2024-12-28,00:00:15,Badarpur,"Botanical Garden",22.67,586.00,UPI,4,5.40,18.20
321,""CNR6798581"",""CID4412829"",8,"Cancelled by Driver",2024-11-11,00:00:16,"South Extension","Hauz Rani",0.00,0.00,"Não informado",0,8.10,29.14
322,""CNR1511311"",""CID3430917"",13,"Cancelled by Driver",2024-08-20,00:00:09,Sikanderpur,"INA Market",0.00,0.00,"Não informado",0,7.40,29.14
323,""CNR1690974"",""CID5614686"",9,Completed,2024-05-29,00:00:22,"Preet Vihar","Cyber Hub",45.17,236.00,UPI,3,11.50,25.40
324,""CNR2405566"",""CID2765782"",9,Completed,2024-11-19,00:00:17,Kadarpur,"Maidan Garhi",23.07,73.00,UPI,4,11.60,28.40
325,""CNR5503992"",""CID3215242"",4,Completed,2024-11-27,00:00:08,"Malviya Nagar","Nehru Place",4.08,355.00,Cash,3,3.10,44.80
326,""CNR5487256"",""CID2154074"",6,Completed,2024-10-02,00:00:02,Pitampura,"Yamuna Bank",41.97,663.00,UPI,4,11.10,23.60
327,""CNR9280980"",""CID4697642"",6,Completed,2024-04-13,00:00:18,Kalkaji,Sultanpur,38.82,886.00,UPI,4,2.60,39.60
328,""CNR5735365"",""CID4330019"",6,Completed,2024-12-29,00:00:19,"Anand Vihar ISBT","Hauz Khas",30.40,292.00,Cash,4,7.20,37.70
329,""CNR7094496"",""CID1193764"",6,Completed,2024-06-05,00:00:10,"Gurgaon Sector 29","Rajouri Garden",19.78,564.00,UPI,4,2.00,37.30
330,""CNR8674052"",""CID9232244"",13,"Cancelled by Driver",2024-04-08,00:00:18,"Noida Film City","Jama Masjid",0.00,0.00,"Não informado",0,8.70,29.14
331,""CNR3317899"",""CID7292132"",7,Completed,2024-05-26,00:00:20,"Hero Honda Chowk","Satguru Ram Singh Marg",47.20,619.00,Cash,4,11.30,39.80
332,""CNR7648257"",""CID6260946"",9,Completed,2024-10-03,00:00:09,"Khan Market",AIIMS,17.43,963.00,"Uber Wallet",4,2.70,28.40
333,""CNR9887499"",""CID4896073"",6,Completed,2024-07-23,00:00:01,Jahangirpuri,"Rajiv Nagar",14.43,427.00,UPI,5,4.80,33.60
334,""CNR5899408"",""CID6731666"",3,Completed,2024-10-09,00:00:02,Chhatarpur,"Vatika Chowk",22.92,60.00,Cash,4,4.40,42.40
335,""CNR4090725"",""CID9333845"",26,Completed,2024-11-06,00:00:13,"Dilshad Garden","Laxmi Nagar",32.15,697.00,"Debit Card",4,8.00,29.00
336,""CNR7912140"",""CID2721563"",9,Completed,2024-02-17,00:00:11,Arjangarh,"GTB Nagar",43.08,953.00,UPI,5,8.10,35.40
337,""CNR1149573"",""CID4850979"",7,Completed,2024-08-19,00:00:16,"Chirag Delhi","IGNOU Road",48.91,342.00,Cash,5,5.90,37.30
338,""CNR9795191"",""CID7143989"",2,"Cancelled by Driver",2024-07-08,00:00:13,"Kashmere Gate ISBT","Jama Masjid",0.00,0.00,"Não informado",0,9.80,29.14
339,""CNR6845177"",""CID2910913"",7,Completed,2024-08-19,00:00:14,"Civil Lines Gurgaon","Sarai Kale Khan",32.46,935.00,"Uber Wallet",4,7.00,17.90
340,""CNR6115510"",""CID8805139"",3,Completed,2024-05-13,00:00:19,"IGNOU Road",Tughlakabad,11.44,566.00,"Debit Card",4,6.10,24.00
341,""CNR6859535"",""CID2960838"",5,Completed,2024-02-28,00:00:15,Sultanpur,"Netaji Subhash Place",42.18,459.00,"Credit Card",4,9.60,34.60
342,""CNR2514823"",""CID8542583"",8,"Cancelled by Customer",2024-03-05,00:00:13,"Laxmi Nagar","Lok Kalyan Marg",0.00,0.00,"Não informado",0,13.30,29.14
343,""CNR5197106"",""CID9447069"",2,"Cancelled by Driver",2024-11-10,00:00:10,"Dilshad Garden","Maidan Garhi",0.00,0.00,"Não informado",0,11.10,29.14
